City,Country,Region,Lifestyle,Location_Preference,Apartment_Size,Rent_Monthly_USD,Utilities_Monthly_USD,Transport_Mode,Transportation_Monthly_USD,Groceries_Monthly_USD,Total_Monthly_USD,Latitude,Longitude
Manila,Philippines,Asia-Pacific,Student,CityCenter,1BR,571.86,80,Public,20.34,120,792.2,14.5995,120.9842
Manila,Philippines,Asia-Pacific,Student,CityCenter,1BR,571.86,80,Car,200,120,971.86,14.5995,120.9842
Manila,Philippines,Asia-Pacific,Student,OutsideCenter,1BR,275.8,80,Public,20.34,120,496.14,14.5995,120.9842
Manila,Philippines,Asia-Pacific,Student,OutsideCenter,1BR,275.8,80,Car,200,120,675.8,14.5995,120.9842
Manila,Philippines,Asia-Pacific,Student,CityCenter,2BR,1312.72,96,Public,20.34,120,1549.06,14.5995,120.9842
Manila,Philippines,Asia-Pacific,Student,CityCenter,2BR,1312.72,96,Car,200,120,1728.72,14.5995,120.9842
Manila,Philippines,Asia-Pacific,Student,OutsideCenter,2BR,487.25,96,Public,20.34,120,723.6,14.5995,120.9842
Manila,Philippines,Asia-Pacific,Student,OutsideCenter,2BR,487.25,96,Car,200,120,903.25,14.5995,120.9842
Manila,Philippines,Asia-Pacific,Student,CityCenter,3BR,2053.58,112,Public,20.34,120,2305.92,14.5995,120.9842
Manila,Philippines,Asia-Pacific,Student,CityCenter,3BR,2053.58,112,Car,200,120,2485.58,14.5995,120.9842
Manila,Philippines,Asia-Pacific,Student,OutsideCenter,3BR,698.71,112,Public,20.34,120,951.05,14.5995,120.9842
Manila,Philippines,Asia-Pacific,Student,OutsideCenter,3BR,698.71,112,Car,200,120,1130.71,14.5995,120.9842
Manila,Philippines,Asia-Pacific,Professional,CityCenter,1BR,571.86,80,Public,20.34,180,852.2,14.5995,120.9842
Manila,Philippines,Asia-Pacific,Professional,CityCenter,1BR,571.86,80,Car,200,180,1031.86,14.5995,120.9842
Manila,Philippines,Asia-Pacific,Professional,OutsideCenter,1BR,275.8,80,Public,20.34,180,556.14,14.5995,120.9842
Manila,Philippines,Asia-Pacific,Professional,OutsideCenter,1BR,275.8,80,Car,200,180,735.8,14.5995,120.9842
Manila,Philippines,Asia-Pacific,Professional,CityCenter,2BR,1312.72,96,Public,20.34,180,1609.06,14.5995,120.9842
Manila,Philippines,Asia-Pacific,Professional,CityCenter,2BR,1312.72,96,Car,200,180,1788.72,14.5995,120.9842
Manila,Philippines,Asia-Pacific,Professional,OutsideCenter,2BR,487.25,96,Public,20.34,180,783.6,14.5995,120.9842
Manila,Philippines,Asia-Pacific,Professional,OutsideCenter,2BR,487.25,96,Car,200,180,963.25,14.5995,120.9842
Manila,Philippines,Asia-Pacific,Professional,CityCenter,3BR,2053.58,112,Public,20.34,180,2365.92,14.5995,120.9842
Manila,Philippines,Asia-Pacific,Professional,CityCenter,3BR,2053.58,112,Car,200,180,2545.58,14.5995,120.9842
Manila,Philippines,Asia-Pacific,Professional,OutsideCenter,3BR,698.71,112,Public,20.34,180,1011.05,14.5995,120.9842
Manila,Philippines,Asia-Pacific,Professional,OutsideCenter,3BR,698.71,112,Car,200,180,1190.71,14.5995,120.9842
Manila,Philippines,Asia-Pacific,Family,CityCenter,2BR,1312.72,115.2,Public,20.34,350,1798.26,14.5995,120.9842
Manila,Philippines,Asia-Pacific,Family,CityCenter,2BR,1312.72,115.2,Car,200,350,1977.92,14.5995,120.9842
